"transab_cat","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Low transfer dependency","2018","inadequately","East Germany","8","","","","2"
"Low transfer dependency","2018","middle vocational","West Germany","524","0.0432221254061775","0.0390512831869761","0.0473929676253789","2"
"Low transfer dependency","2018","higher education","East Germany","66","0.0333466332467531","0.0241497868485201","0.0425434796449861","2"
"Low transfer dependency","2018","vocational + Abi","West Germany","131","0.0473821995757529","0.0376641590095152","0.0571002401419906","2"
"Low transfer dependency","2018","middle vocational","East Germany","239","0.0715653767982194","0.0620313430629457","0.0810994105334931","2"
"Low transfer dependency","2018","inadequately","West Germany","124","0.145010751058625","0.127053565468022","0.162967936649228","2"
"Low transfer dependency","2018","vocational + Abi","East Germany","34","0.0780869987403627","0.0486896992242837","0.107484298256442","2"
"Low transfer dependency","2018","higher education","West Germany","187","0.0261208972204345","0.0218672881732101","0.0303745062676588","2"
"Low transfer dependency","2018","in school","West Germany","48","0.0696277770120188","0.0482790785841468","0.0909764754398908","2"
"Low transfer dependency","2018","higher vocational","East Germany","10","","","","2"
"Low transfer dependency","2018","higher vocational","West Germany","35","0.0369055819826787","0.0255076202370098","0.0483035437283476","2"
"Low transfer dependency","2018","in school","East Germany","19","","","","2"
"No transfer dependency","2018","general elemantary","West Germany","787","0.486031675291041","0.467828410921548","0.504234939660534","0"
"No transfer dependency","2018","general elemantary","East Germany","119","0.423555176840505","0.38058668568592","0.466523667995091","0"
"No transfer dependency","2018","middle vocational","West Germany","3852","0.581304661914041","0.571186162631664","0.591423161196417","0"
"No transfer dependency","2018","higher education","East Germany","815","0.681020605430754","0.657145846583819","0.704895364277689","0"
"No transfer dependency","2018","middle vocational","East Germany","1294","0.551087044725331","0.532690311545698","0.569483777904964","0"
"No transfer dependency","2018","higher education","West Germany","2184","0.576967527546008","0.563791832307934","0.590143222784081","0"
"No transfer dependency","2018","inadequately","East Germany","13","","","","0"
"No transfer dependency","2018","vocational + Abi","East Germany","97","0.402100187415887","0.348377905905906","0.455822468925868","0"
"No transfer dependency","2018","higher vocational","West Germany","531","0.616575630080082","0.587180203497585","0.645971056662578","0"
"No transfer dependency","2018","higher vocational","East Germany","224","0.681039322575886","0.634604127409158","0.727474517742613","0"
"No transfer dependency","2018","vocational + Abi","West Germany","550","0.457096952179255","0.434310481958097","0.479883422400414","0"
"No transfer dependency","2018","inadequately","West Germany","103","0.195658509193699","0.175427038730529","0.215889979656868","0"
"No transfer dependency","2018","in school","West Germany","3","","","","0"
"No transfer dependency","2018","in school","East Germany","1","","","","0"
"Very high transfer dependency","2018","general elemantary","West Germany","168","0.0298787803358643","0.0236780442555432","0.0360795164161853","4"
"Very high transfer dependency","2018","general elemantary","East Germany","50","0.0597748278207315","0.0391594480877485","0.0803902075537146","4"
"Very high transfer dependency","2018","middle vocational","West Germany","207","0.0142162316418105","0.0117882342452547","0.0166442290383663","4"
"Very high transfer dependency","2018","inadequately","East Germany","34","0.0863094935690803","0.0516376718361852","0.120981315301975","4"
"Very high transfer dependency","2018","middle vocational","East Germany","90","0.024232007573227","0.0185445584940101","0.0299194566524438","4"
"Very high transfer dependency","2018","higher education","East Germany","15","","","","4"
"Very high transfer dependency","2018","inadequately","West Germany","204","0.102995054897353","0.0874939216769196","0.118496188117786","4"
"Very high transfer dependency","2018","vocational + Abi","West Germany","49","0.0119682337713678","0.00699415981466015","0.0169423077280755","4"
"Very high transfer dependency","2018","higher education","West Germany","128","0.00990374821092266","0.00726286311366126","0.0125446333081841","4"
"Very high transfer dependency","2018","in school","West Germany","26","","","","4"
"Very high transfer dependency","2018","in school","East Germany","","","","","4"
"Very high transfer dependency","2018","vocational + Abi","East Germany","12","","","","4"
"Very high transfer dependency","2018","higher vocational","West Germany","6","","","","4"
"Very high transfer dependency","2018","higher vocational","East Germany","2","","","","4"
"Very low transfer dependency","2018","in school","West Germany","418","0.809964449037607","0.777056396994686","0.842872501080527","1"
"Very low transfer dependency","2018","in school","East Germany","90","0.787622425600128","0.715924523341761","0.859320327858494","1"
"Very low transfer dependency","2018","inadequately","West Germany","103","0.217624404621005","0.196580840922519","0.238667968319492","1"
"Very low transfer dependency","2018","inadequately","East Germany","9","","","","1"
"Very low transfer dependency","2018","general elemantary","West Germany","946","0.317088655720886","0.300140543607703","0.33403676783407","1"
"Very low transfer dependency","2018","general elemantary","East Germany","124","0.22467302388448","0.188379081328743","0.260966966440216","1"
"Very low transfer dependency","2018","middle vocational","West Germany","3806","0.32587364133777","0.316260608836486","0.335486673839053","1"
"Very low transfer dependency","2018","middle vocational","East Germany","929","0.28819212702988","0.271439921637366","0.304944332422395","1"
"Very low transfer dependency","2018","vocational + Abi","West Germany","997","0.448357315497876","0.425608812928053","0.471105818067699","1"
"Very low transfer dependency","2018","vocational + Abi","East Germany","158","0.471922052992384","0.417225840542786","0.526618265441982","1"
"Very low transfer dependency","2018","higher vocational","West Germany","466","0.327447333909447","0.299075944041703","0.35581872377719","1"
"Very low transfer dependency","2018","higher vocational","East Germany","148","0.30410740258374","0.25827451573079","0.34994028943669","1"
"Very low transfer dependency","2018","higher education","West Germany","2438","0.364400003694039","0.351565114261873","0.377234893126204","1"
"Very low transfer dependency","2018","higher education","East Germany","489","0.263904479732128","0.241327386771106","0.286481572693149","1"
"Complete transfer dependency","2019","in school","West Germany","26","","","","5"
"Complete transfer dependency","2019","in school","East Germany","2","","","","5"
"Complete transfer dependency","2019","inadequately","West Germany","780","0.189690131483529","0.169496624779652","0.209883638187405","5"
"Complete transfer dependency","2019","inadequately","East Germany","144","0.309174126088123","0.248652588873258","0.369695663302988","5"
"Complete transfer dependency","2019","general elemantary","West Germany","381","0.0267821026054088","0.020643356210793","0.0329208490000247","5"
"Complete transfer dependency","2019","general elemantary","East Germany","94","0.110922819842692","0.082945533186451","0.138900106498933","5"
"Complete transfer dependency","2019","middle vocational","West Germany","361","0.0130642500188149","0.0106998665616711","0.0154286334759588","5"
"Complete transfer dependency","2019","middle vocational","East Germany","101","0.0241958279255856","0.018351058174305","0.0300405976768662","5"
"Complete transfer dependency","2019","vocational + Abi","West Germany","53","0.0147513709065921","0.00930908285117596","0.0201936589620082","5"
"Complete transfer dependency","2019","vocational + Abi","East Germany","11","","","","5"
"Complete transfer dependency","2019","higher vocational","West Germany","3","","","","5"
"Complete transfer dependency","2019","higher vocational","East Germany","1","","","","5"
"Complete transfer dependency","2019","higher education","West Germany","271","0.00783894078979725","0.00556578695086703","0.0101120946287275","5"
"Complete transfer dependency","2019","higher education","East Germany","43","0.00424321585348168","0.00110301537768746","0.0073834163292759","5"
