"transab_cat","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Low transfer dependency","2016","35-65 y.","higher education","157","0.0337176656810729","0.0279273816721407","0.0395079496900051","2"
"Low transfer dependency","2016","66 and older","in school","","","","","2"
"Low transfer dependency","2016","66 and older","general elemantary","24","","","","2"
"Low transfer dependency","2016","66 and older","middle vocational","42","0.0214569507372606","0.0156932991466122","0.027220602327909","2"
"Low transfer dependency","2016","66 and older","vocational + Abi","9","","","","2"
"Low transfer dependency","2016","66 and older","higher vocational","3","","","","2"
"Low transfer dependency","2016","66 and older","higher education","13","","","","2"
"Low transfer dependency","2016","35-65 y.","in school","","","","","2"
"Low transfer dependency","2016","35-65 y.","inadequately","40","0.111899644220585","0.0721817895011946","0.151617498939975","2"
"Low transfer dependency","2016","66 and older","inadequately","5","","","","2"
"Low transfer dependency","2016","16-34 y.","vocational + Abi","48","0.0837690398997191","0.0588286539106802","0.108709425888758","2"
"Low transfer dependency","2016","16-34 y.","higher vocational","9","","","","2"
"Low transfer dependency","2016","16-34 y.","higher education","75","0.0660312164258706","0.0501048947850339","0.0819575380667073","2"
"Low transfer dependency","2016","16-34 y.","general elemantary","160","0.110751139691301","0.0919650470795043","0.129537232303098","2"
"Low transfer dependency","2016","16-34 y.","middle vocational","287","0.127677408796303","0.113574020087531","0.141780797505075","2"
"No transfer dependency","2016","16-34 y.","in school","6","","","","0"
"No transfer dependency","2016","16-34 y.","inadequately","12","","","","0"
"No transfer dependency","2016","16-34 y.","general elemantary","95","0.155713532817452","0.134008582731479","0.177418482903426","0"
"No transfer dependency","2016","35-65 y.","general elemantary","233","0.410908676848059","0.380353669618969","0.441463684077148","0"
"No transfer dependency","2016","35-65 y.","middle vocational","2113","0.484425081152701","0.472124421113183","0.496725741192218","0"
"No transfer dependency","2016","35-65 y.","vocational + Abi","329","0.38876151966627","0.363263202649853","0.414259836682687","0"
"No transfer dependency","2016","35-65 y.","inadequately","31","0.20060557402684","0.150151938687635","0.251059209366046","0"
"No transfer dependency","2016","35-65 y.","in school","","","","","0"
"No transfer dependency","2016","35-65 y.","higher vocational","328","0.491526301472075","0.459918519221794","0.523134083722356","0"
"No transfer dependency","2016","35-65 y.","higher education","1124","0.449759777590802","0.433801516367928","0.465718038813676","0"
"No transfer dependency","2016","16-34 y.","higher vocational","53","0.59948756300562","0.509141972374451","0.689833153636789","0"
"No transfer dependency","2016","16-34 y.","higher education","471","0.611064649358056","0.579799756688029","0.642329542028084","0"
"No transfer dependency","2016","66 and older","in school","","","","","0"
"No transfer dependency","2016","66 and older","inadequately","25","","","","0"
"No transfer dependency","2016","16-34 y.","vocational + Abi","185","0.531189571699859","0.486265167902162","0.576113975497555","0"
"No transfer dependency","2016","16-34 y.","middle vocational","484","0.324525162524213","0.304739223715499","0.344311101332927","0"
"No transfer dependency","2016","66 and older","middle vocational","2151","0.895875666986107","0.883727136818866","0.908024197153347","0"
"No transfer dependency","2016","66 and older","vocational + Abi","101","0.820705644148508","0.754509871591966","0.88690141670505","0"
"No transfer dependency","2016","66 and older","higher vocational","290","0.870998705618979","0.834778081379286","0.907219329858672","0"
"No transfer dependency","2016","66 and older","higher education","1073","0.91087298378317","0.894718327104935","0.927027640461405","0"
"No transfer dependency","2016","66 and older","general elemantary","505","0.839784611762026","0.81098145174724","0.868587771776812","0"
"Very high transfer dependency","2016","16-34 y.","in school","35","0.0321052816930941","0.0190929287361681","0.0451176346500201","4"
"Very high transfer dependency","2016","35-65 y.","general elemantary","49","0.0272849237880679","0.0171674376535331","0.0374024099226027","4"
"Very high transfer dependency","2016","35-65 y.","vocational + Abi","36","0.0204913372551975","0.0130807294702704","0.0279019450401246","4"
"Very high transfer dependency","2016","35-65 y.","middle vocational","160","0.0204297337097446","0.0169478171105449","0.0239116503089442","4"
"Very high transfer dependency","2016","35-65 y.","higher vocational","5","","","","4"
"Very high transfer dependency","2016","35-65 y.","higher education","38","0.00965054243148754","0.00651444755921428","0.0127866373037608","4"
"Very high transfer dependency","2016","66 and older","higher education","10","","","","4"
"Very high transfer dependency","2016","66 and older","inadequately","","","","","4"
"Very high transfer dependency","2016","66 and older","general elemantary","4","","","","4"
"Very high transfer dependency","2016","66 and older","vocational + Abi","4","","","","4"
"Very high transfer dependency","2016","66 and older","higher vocational","1","","","","4"
"Very high transfer dependency","2016","66 and older","in school","","","","","4"
"Very high transfer dependency","2016","35-65 y.","in school","","","","","4"
"Very high transfer dependency","2016","35-65 y.","inadequately","45","0.137345864310053","0.0939781477605207","0.180713580859586","4"
"Very high transfer dependency","2016","66 and older","middle vocational","8","","","","4"
"Very high transfer dependency","2016","16-34 y.","vocational + Abi","12","","","","4"
"Very high transfer dependency","2016","16-34 y.","inadequately","26","","","","4"
"Very high transfer dependency","2016","16-34 y.","general elemantary","93","0.0466570210701588","0.0340319512675951","0.0592820908727225","4"
"Very high transfer dependency","2016","16-34 y.","middle vocational","85","0.0278965844791791","0.0209373793621134","0.0348557895962449","4"
"Very high transfer dependency","2016","16-34 y.","higher vocational","2","","","","4"
"Very high transfer dependency","2016","16-34 y.","higher education","21","","","","4"
"Very low transfer dependency","2016","35-65 y.","in school","","","","","1"
"Very low transfer dependency","2016","35-65 y.","inadequately","65","0.310941734127614","0.252623026718758","0.36926044153647","1"
"Very low transfer dependency","2016","35-65 y.","middle vocational","3208","0.390847617647029","0.378837813571358","0.402857421722701","1"
"Very low transfer dependency","2016","35-65 y.","higher vocational","570","0.440261355735581","0.408875474555383","0.47164723691578","1"
"Very low transfer dependency","2016","35-65 y.","higher education","2344","0.490783226201214","0.47474651522437","0.506819937178058","1"
"Very low transfer dependency","2016","66 and older","in school","","","","","1"
"Very low transfer dependency","2016","66 and older","inadequately","7","","","","1"
"Very low transfer dependency","2016","66 and older","middle vocational","204","0.0722173939386631","0.0619214120714184","0.0825133758059077","1"
"Very low transfer dependency","2016","66 and older","vocational + Abi","13","","","","1"
"Very low transfer dependency","2016","66 and older","higher vocational","31","0.106532867561112","0.0731955047818005","0.139870230340424","1"
"Very low transfer dependency","2016","35-65 y.","vocational + Abi","861","0.496482653736805","0.470329516348919","0.522635791124691","1"
"Very low transfer dependency","2016","66 and older","general elemantary","75","0.104152288770389","0.0801664134992741","0.128138164041503","1"
"Very low transfer dependency","2016","66 and older","higher education","96","0.0716008135528245","0.0569827282297081","0.0862188988759409","1"
"Very low transfer dependency","2016","16-34 y.","in school","531","0.808224847137473","0.779163496114091","0.837286198160854","1"
"Very low transfer dependency","2016","16-34 y.","middle vocational","1154","0.455073619241547","0.434029166691476","0.476118071791618","1"
"Very low transfer dependency","2016","16-34 y.","inadequately","21","","","","1"
"Very low transfer dependency","2016","16-34 y.","general elemantary","559","0.514045227122849","0.484126074451583","0.543964379794116","1"
"Very low transfer dependency","2016","16-34 y.","vocational + Abi","210","0.340510787812649","0.297850065365531","0.383171510259766","1"
"Very low transfer dependency","2016","16-34 y.","higher vocational","48","0.309054089568896","0.223852412752842","0.394255766384949","1"
"Very low transfer dependency","2016","35-65 y.","general elemantary","410","0.342017389270136","0.31255623734501","0.371478541195261","1"
"Very low transfer dependency","2016","16-34 y.","higher education","338","0.271692364870057","0.243164399323519","0.300220330416595","1"
"Complete transfer dependency","2017","16-34 y.","in school","22","","","","5"
"Complete transfer dependency","2017","16-34 y.","inadequately","353","0.321419313600882","0.282669669008625","0.360168958193139","5"
"Complete transfer dependency","2017","16-34 y.","general elemantary","249","0.0836059699072287","0.0687635527933993","0.0984483870210582","5"
"Complete transfer dependency","2017","16-34 y.","middle vocational","173","0.0253383516169872","0.0193289092754996","0.0313477939584747","5"
"Complete transfer dependency","2017","16-34 y.","vocational + Abi","27","","","","5"
"Complete transfer dependency","2017","16-34 y.","higher vocational","","","","","5"
"Complete transfer dependency","2017","16-34 y.","higher education","145","0.0110051615434265","0.00517959777467778","0.0168307253121752","5"
"Complete transfer dependency","2017","35-65 y.","in school","1","","","","5"
"Complete transfer dependency","2017","35-65 y.","inadequately","287","0.126270106758278","0.0995363731911414","0.153003840325415","5"
"Complete transfer dependency","2017","35-65 y.","general elemantary","196","0.0578520627515024","0.0451218456760674","0.0705822798269373","5"
"Complete transfer dependency","2017","35-65 y.","middle vocational","233","0.021069781615307","0.0177383163881533","0.0244012468424607","5"
