"pli0089","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"Never","2018","no migration background","in school","","","",""
"Never","2018","no migration background","inadequately","","","",""
"Never","2018","no migration background","general elemantary","","","",""
"Never","2018","no migration background","middle vocational","","","",""
"Never","2018","no migration background","vocational + Abi","","","",""
"Never","2018","no migration background","higher vocational","","","",""
"Never","2018","no migration background","higher education","","","",""
"Never","2018","direct migration background","in school","2","","",""
"Never","2018","direct migration background","inadequately","965","0.61738372721782","0.592358777944358","0.642408676491281"
"Never","2018","direct migration background","general elemantary","452","0.564841778116596","0.529121137935541","0.600562418297651"
"Never","2018","direct migration background","middle vocational","408","0.601054495861782","0.56363922816627","0.638469763557295"
"Never","2018","direct migration background","vocational + Abi","54","0.751530839127031","0.660201878463302","0.842859799790761"
"Never","2018","direct migration background","higher vocational","","","",""
"Never","2018","direct migration background","higher education","386","0.534762098301711","0.496679792400934","0.572844404202488"
"Never","2018","indirect migration background","in school","","","",""
"Never","2018","indirect migration background","inadequately","","","",""
"Never","2018","indirect migration background","general elemantary","","","",""
"Never","2018","indirect migration background","middle vocational","","","",""
"Never","2018","indirect migration background","vocational + Abi","","","",""
"Never","2018","indirect migration background","higher vocational","","","",""
"Never","2018","indirect migration background","higher education","","","",""
"Daily","2019","no migration background","in school","2","","",""
"Daily","2019","no migration background","inadequately","1","","",""
"Daily","2019","no migration background","general elemantary","5","","",""
"Daily","2019","no migration background","middle vocational","16","","",""
"Daily","2019","no migration background","vocational + Abi","3","","",""
"Daily","2019","no migration background","higher vocational","","","",""
"Daily","2019","no migration background","higher education","7","","",""
"Daily","2019","direct migration background","in school","","","",""
"Daily","2019","direct migration background","inadequately","13","","",""
"Daily","2019","direct migration background","general elemantary","5","","",""
"Daily","2019","direct migration background","middle vocational","13","","",""
"Daily","2019","direct migration background","vocational + Abi","","","",""
"Daily","2019","direct migration background","higher vocational","","","",""
"Daily","2019","direct migration background","higher education","8","","",""
"Daily","2019","indirect migration background","in school","","","",""
"Daily","2019","indirect migration background","inadequately","","","",""
"Daily","2019","indirect migration background","general elemantary","1","","",""
"Daily","2019","indirect migration background","middle vocational","2","","",""
"Daily","2019","indirect migration background","vocational + Abi","3","","",""
"Daily","2019","indirect migration background","higher vocational","","","",""
"Daily","2019","indirect migration background","higher education","","","",""
